,particle,x,y,actual_size,usable,size,video
0,0,1457.253679,196.5342437,11,1,18.83081516,40%glys_10%part90%sol2
1,1,1528.926046,1810.729519,0,0,18.03499947,40%glys_10%part90%sol2
2,2,341.8168224,1629.371726,0,0,15.19106597,40%glys_10%part90%sol2
3,3,323.6662487,1521.437244,0,0,15.42775911,40%glys_10%part90%sol2
4,6,2434.842705,1022.890342,0,0,15.6149914,40%glys_10%part90%sol2
5,7,1341.814509,598.1287664,13,1,13.22101403,40%glys_10%part90%sol2
6,8,1575.747223,510.9889168,0,0,15.4640159,40%glys_10%part90%sol2
7,10,2168.949206,474.4185598,0,0,13.86891981,40%glys_10%part90%sol2
8,11,130.550459,237.0650282,14.5,1,9.981778848,40%glys_10%part90%sol2
9,12,518.4231306,696.3219221,0,0,18.37082515,40%glys_10%part90%sol2
