,particle,x,y,actual_size,usable,size,video
0,2,71.90939705,1596.368169,0,0,11.72152595,62deg
1,5,563.6120888,909.3693347,0,0,13.0100103,62deg
2,12,713.9223722,202.7428721,12,1,13.0392735,62deg
