,particle,x,y,actual_size,usable,size,video
0,11,1909.59804,933.1149374,21.5,1,15.25226221,85%glys_30%part70%sol
1,12,294.2856929,452.3384078,0,0,24.09599809,85%glys_30%part70%sol
2,14,1781.174991,660.2181925,0,0,16.11016211,85%glys_30%part70%sol
