,particle,x,y,actual_size,usable,size,video
0,2,714.8653693,1770.299488,,0,17.47757208,95%glys_10%part90%sol2
1,3,473.5112528,1742.119477,,0,13.98071545,95%glys_10%part90%sol2
2,5,1912.960883,1310.558955,,0,23.3712405,95%glys_10%part90%sol2
3,6,960.8097384,1705.459818,,0,11.51530426,95%glys_10%part90%sol2
4,7,1084.344058,1219.578622,16,1,18.01294809,95%glys_10%part90%sol2
5,10,1972.506154,641.1433215,18.54,1,20.1168952,95%glys_10%part90%sol2
6,11,1267.908967,533.9808496,20,1,21.72968347,95%glys_10%part90%sol2
