,particle,x,y,actual_size,usable,size,video
0,10,672.0730145,911.0333805,14,1,12.36939678,45deg-take2
1,11,1787.126562,677.4710058,10,1,11.61102265,45deg-take2
2,14,1477.839248,503.0620168,10.5,1,11.10674298,45deg-take2
3,16,1066.485561,1203.141206,0,0,10.45583247,45deg-take2
