,particle,x,y,actual_size,usable,size,video
0,0,779.5489269,333.616453,12.5,1,12.33527513,43 deg
1,1,1886.646992,1740.184041,8,1,10.55355567,43 deg
2,4,976.9495714,1568.02331,0,0,17.46441127,43 deg
3,6,2250.471048,1235.170748,0,0,19.39844587,43 deg
4,8,1194.058086,1079.341488,8.5,1,10.25616933,43 deg
5,11,1968.130307,911.6361046,7.5,1,9.828350462,43 deg
6,12,203.9988837,896.8485516,10.5,1,11.96171301,43 deg
7,13,1598.755388,876.5869773,7.5,1,10.03867734,43 deg
8,14,1173.239692,877.4266727,0,0,12.02916685,43 deg
