,particle,x,y,usable,actual_size,size,video
0,1,2190.341168,1881.961395,0,0,23.83600988,85%glys_30%part70%sol2
1,3,1247.59678,1842.107945,1,21.5,23.28691523,85%glys_30%part70%sol2
2,6,1087.4011,1586.205182,0,,11.50370291,85%glys_30%part70%sol2
3,7,385.1519508,1359.579159,1,22,23.41425125,85%glys_30%part70%sol2
4,9,981.4573527,1197.756963,0,,17.71479906,85%glys_30%part70%sol2
5,11,1361.317348,1064.950473,1,12.5,16.99885397,85%glys_30%part70%sol2
6,14,893.6628083,315.8490349,1,20.5,23.19642778,85%glys_30%part70%sol2
7,15,1621.318146,424.4598986,1,10.5,17.89342191,85%glys_30%part70%sol2
8,20,2421.731535,460.8086933,0,,16.47271033,85%glys_30%part70%sol2
