,particle,x,y,actual_size,usable,size,video
0,5,1182.61092,1177.36205,15,1,13.11887973,57deg-take2
1,8,2174.429079,1011.861407,11.5,1,12.11457673,57deg-take2
2,17,1769.204013,971.5178274,7,1,10.56504306,57deg-take2
