,particle,x,y,actual_size,usable,size,video
0,0,1470.080022,75.63206166,22.67,1,13.87243477,20%glys_10%part90%sol2
1,1,748.0297491,1714.843357,12.5,1,17.15018262,20%glys_10%part90%sol2
2,4,1337.8738,1327.394859,0,0,13.06746291,20%glys_10%part90%sol2
3,6,1587.455231,1031.256625,15.5,1,14.09652056,20%glys_10%part90%sol2
4,7,2458.716095,1015.11086,15,1,12.11589223,20%glys_10%part90%sol2
5,9,657.5721662,1120.121192,7.5,1,16.74852617,20%glys_10%part90%sol2
6,10,1979.159087,801.4545192,10.5,1,11.57514242,20%glys_10%part90%sol2
7,12,815.0403167,544.0429042,13,1,14.49264111,20%glys_10%part90%sol2
8,13,1163.539864,360.7794909,6,1,16.22238671,20%glys_10%part90%sol2
9,14,2252.544327,316.1295753,10.5,1,13.97291532,20%glys_10%part90%sol2
