,particle,x,y,actual_size,usable,size,video
0,17,1405.681712,450.6786408,0,0,11.5408133,40deg-take2
1,18,1756.219882,545.8696062,0,0,11.26492381,40deg-take2
2,23,871.2989962,952.8932936,0,0,11.1156097,40deg-take2
3,28,489.8002705,904.042536,0,0,12.27909937,40deg-take2
