,particle,x,y,actual_size,usable,size,video
0,3,1853.533702,1622.831821,0,0,11.57978953,48
1,7,385.5359092,993.6653717,15.5,1,13.94797408,48
2,8,72.94297205,913.4093223,0,0,11.66774234,48
3,9,2193.147158,1145.131888,0,0,20.60304153,48
4,12,1649.342645,828.7521473,8,1,12.11210298,48
5,13,123.7147448,730.0957616,11.5,1,12.65885573,48
6,16,717.1668232,316.8025635,13,1,12.76606137,48
7,17,1171.147177,877.2373168,0,0,13.51381039,48
