,particle,x,y,actual_size,usable,size,video
0,0,1451.923209,189.0385809,,0,14.64676137,40%glys_10%part90%sol1
1,1,1908.484184,1499.275179,,0,14.34566438,40%glys_10%part90%sol1
2,4,2401.533751,1243.505547,,0,18.51078118,40%glys_10%part90%sol1
3,5,818.4198057,1070.488357,,0,15.17026919,40%glys_10%part90%sol1
4,6,1640.646102,946.5248332,,0,12.53768216,40%glys_10%part90%sol1
5,7,755.4551321,1252.215272,,0,16.82113323,40%glys_10%part90%sol1
6,9,1002.958968,440.9560067,,0,19.40176183,40%glys_10%part90%sol1
7,10,749.5954431,345.5973579,,0,19.33241518,40%glys_10%part90%sol1
8,11,1526.070088,274.4035699,,0,16.61571424,40%glys_10%part90%sol1
9,12,2068.98839,238.2173892,,0,18.51299591,40%glys_10%part90%sol1
