,particle,x,y,actual_size,usable,size,video
0,1,1248.934706,1619.502827,9.5,1,11.33294947,52
1,11,2212.248395,1205.205023,10,1,11.28146507,52
2,12,56.7852665,943.9289933,0,0,18.11359961,52
3,15,2414.470622,432.2931406,13,1,12.61773475,52
4,17,1803.945955,74.97949029,0,0,14.26504191,52
