,particle,x,y,actual_size,usable,size,video
0,0,109.8200959,85.51787022,9,1,9.908805264,38 deg
1,2,2059.962577,1728.564678,0,0,11.01220442,38 deg
2,4,984.4249474,1574.648959,0,0,18.46121117,38 deg
3,6,2283.564846,1193.734561,0,0,18.92807145,38 deg
4,10,441.085186,958.4664535,17.5,1,12.91457443,38 deg
5,12,1285.685132,941.0859915,7.5,1,10.75824446,38 deg
6,15,1181.144907,881.1965426,0,0,12.0012143,38 deg
7,20,839.0737666,238.2153347,12.5,1,12.50772446,38 deg
8,21,1694.487362,836.4413182,7.5,1,11.21322262,38 deg
9,22,200.9465128,850.2643963,10.5,1,11.13975663,38 deg
10,25,2077.885593,798.4303974,7.5,1,10.14572142,38 deg
