,particle,x,y,actual_size,usable,size,video
0,8,2405.609366,1633.077057,0,0,16.09526927,57 deg
1,11,926.8619057,1315.229621,0,0,11.68651456,57 deg
2,14,840.4841784,422.3881032,0,0,15.19091732,57 deg
3,15,2240.84712,617.0238215,9.5,1,10.69046796,57 deg
4,20,1433.059204,659.8291396,12.5,1,12.36008927,57 deg
